player_id,miejscowosc,lat,lon,km_do_opola,spoza_regionu
070cfab5-4174-4716-93e4-0403ba952e74,Ligota Oleska,50.85,18.35,36.0,False
071d6175-3eba-4c17-8461-2fe1acf2ecc4,Opole,50.6751,17.9213,0.0,False
07343042-e093-4ee2-8470-7c56b42c8b89,NULL,,,,False
0743c0f7-039a-44cf-a3c3-b326520e3a73,Zawadzkie,50.6069,18.4711,40.0,False
076ffc08-9d6d-4c39-8c03-9651dc5c3a7c,Tarnów Op.,50.5806,18.095,16.0,False
07b66a9d-703b-432e-92ec-ae5e8060dead,Branice,50.05,17.8,70.0,False
07e204b1-ee07-48ec-acf7-b7395996e647,LZS POLSKI ŚWIĘTÓW (Polski Świętów 62),50.4,17.2,59.0,False
07f75fb9-3da5-4dac-b2b9-0848213a9610,Źlinice,50.55,17.9,14.0,False
07f82b48-8c84-4241-b08c-3591ee1bfa23,Kietrz,50.0783,18.0072,67.0,False
0802136b-fb55-4473-86aa-a2e5c10a5030,Zabrze,,,,True
08199b3b-7471-4563-8bbf-2dba85bbffd9,Kielce,,,,True
0848d56b-470c-4408-8f96-9ca6bdbdf5e8,Byczyna,51.1097,18.2144,53.0,False
08573b50-4d00-422d-b386-ef6ce628b131,Katowice,,,,True
0881937f-3361-4d1d-94da-b370c9f51591,NULL,,,,False
089c56e9-a3da-4719-8d7d-f71c01f56aaf,Luboszyce,50.73,17.96,7.0,False
089e6b1b-0c0c-4a86-8128-9c544a5ea187,Namysłów,51.0753,17.7208,47.0,False
08bd99b4-b086-4285-aa26-0275431947cc,Zabrze,,,,True
08c2ae0e-aa2f-45db-82e2-e9c61b2c1d24,TUŁOWICE,,,,False
08d7f6dd-cd1d-4075-9fe5-d4f0e27de586,Opole,50.6751,17.9213,0.0,False
08e0fa8a-ae55-40ff-880e-d54ee5415e0a,Łambinowice,50.5289,17.53,32.0,False
091ba001-81ed-4902-96a9-75651d529760,Strzelce Opolskie,50.5106,18.3016,32.0,False
092ab90b-2375-4e99-aaf1-92c2dbc36bf8,NULL,,,,False
093dd0db-2883-4432-a1bd-aefa69b79752,Katowice,,,,True
0957370f-4715-48a4-abc0-67189fced181,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
09811f8e-753a-4427-966e-2a0869c96771,OLESNO,50.8703,18.4176,41.0,False
09b0ef55-ff92-4408-be9d-054bce3ddb09,NULL,,,,False
09bf859d-3010-430e-8fbf-0f065da3deeb,Nowiny,,,,True
09c1d162-e118-468e-afe4-c355aaf188f6,Katowice,,,,True
09d4743b-dc79-40af-820d-0cb37bdcda63,Opole,50.6751,17.9213,0.0,False
09d7e6b2-83ab-4d6b-8867-e3f744d25144,Nowiny,,,,True
09f6397c-100a-489a-a8e8-73da618d239f,NULL,,,,False
0a1c4266-f05d-4382-a05d-144fbed3492c,Szczedrzyk,50.68,18.15,16.0,False
0a1c8d4f-a538-43db-ad18-5e4ca4cdbb95,Chróścice,50.79,17.85,14.0,False
0a21e94e-6e80-4b31-bce3-a8732233e0a5,Kraków,,,,True
0a32c5f1-6c10-40cb-80cf-79be22897e01,NULL,,,,False
0a3832b5-822b-44a1-8e34-48bc0f2c858e,Nysa,50.4741,17.3342,47.0,False
0a3875a6-b7e8-4815-b2b0-db019088aeee,LIMANOWA,,,,True
0a4fd348-1442-4853-aa9a-853d62786e9a,LIMANOWA,,,,True
0a597707-6ebd-4dfe-a505-e5538f08143d,PACZKÓW,50.4636,17.0011,69.0,False
0a89e07f-8447-4157-a947-ca3e77bba46a,NULL,,,,False
0a9d6044-5abc-4f19-99ea-841d58f89f7e,Byczyna,51.1097,18.2144,53.0,False
0aa39c1c-392a-4c52-b7a9-abee6c33df1e,Boisko sportowe (Dytmarów 28),50.3,17.65,46.0,False
0ad43454-f613-44be-912e-b9831a09ecbf,Opole,50.6751,17.9213,0.0,False
0ade0f96-6344-4681-a986-00eefbe65de6,Kolonowskie,50.6539,18.3428,30.0,False
0aedcedc-a0d2-4399-b8b9-bb5986c3b1a3,Opole,50.6751,17.9213,0.0,False
0b02284a-0bea-4ca8-9f1a-063a5e2a04f6,Gościęcin,50.25,18.05,48.0,False
0b21f23a-75dc-4e18-a321-88619611c0a5,Rzeszów,,,,True
0b345301-7e87-4506-81b7-7fd0e38932f6,Zawadzkie,50.6069,18.4711,40.0,False
0b370a1b-3c45-4fbf-965a-6bd0f0a18366,Zdzieszowice,50.4239,18.1256,31.0,False
0b4b7953-040f-4917-b2f0-0b4f1cc3a758,Opole,50.6751,17.9213,0.0,False
0b5a6040-eae1-4a7f-8e45-f6c7abc95340,Gościęcin,50.25,18.05,48.0,False
0b5e8ba7-e1a3-4cf1-b51a-1aad59f064db,Nysa,50.4741,17.3342,47.0,False
0b71dbb2-9b71-43ad-93ac-cb146fc87f72,Strzelce Opolskie,50.5106,18.3016,32.0,False
0b7f34a6-f96b-474b-98e3-dcb278d6e07c,Mechnice,50.63,17.85,7.0,False
0b81fd52-237e-4d57-884a-e43e40c0490f,Korfantów,50.4589,17.5622,35.0,False
0b900f49-e613-4d96-b149-4853dc38eed8,Nysa,50.4741,17.3342,47.0,False
0bb25fd4-7aa3-4a80-8d7f-e4e6081a8e5e,Szczedrzyk,50.68,18.15,16.0,False
0bb6ce20-a716-4363-b78e-c8ab2b501d6e,Ujazd,50.3839,18.3506,44.0,False
0bbf7eab-14fd-4a53-bcf0-4e98dbc366c2,NULL,,,,False
0bc29bc0-6f91-4ce0-a564-e8bc71c4b5a8,LIMANOWA,,,,True
0c048c59-1a37-4f33-be33-96d2b2882f80,GRODKÓW,50.6953,17.3808,38.0,False
0c1a7bf9-0bc3-455c-a49c-4400e2bf5b1d,Częstochowa,,,,True
0c2a90e2-6d9c-4ceb-8be0-67381214b8e1,Rzeszów,,,,True
0c2d8ccf-3d9d-435d-8ead-bf7d8eb34cbe,Kadłub,50.55,18.28,29.0,False
0c344d08-c00d-42d1-b650-edb18d8f135e,Strzelce Opolskie,50.5106,18.3016,32.0,False
0c4dbf0a-b003-4248-a499-56f796f345cd,Kraków,,,,True
0c4e1215-cb34-42a0-8892-20fb75c3f3d7,Maków Podhalański,,,,True
0c634f31-a77c-4c93-acfe-e29ace6b2afa,Jemielnica,50.55,18.28,29.0,False
0c682576-dea5-4552-82a4-9ad601510d7f,Grodziec,50.9,18.25,34.0,False
0c8d6274-fe35-42af-8996-62c83689af98,Zabrze,,,,True
0ca9173c-7e66-494f-b177-2f5006511d6d,Głogówek,50.355,17.8656,36.0,False
0cb2dcaf-99ba-4ab1-a879-b69306640be2,Brzesko,,,,True
0cb3fcbf-513a-45a5-811a-7d91e3c87445,Gliwice,,,,True
0cb57e88-6295-441d-9c7b-171b594479da,Opole,50.6751,17.9213,0.0,False
0ccd0ed3-7f04-42b6-a698-22aa4cca29be,Rzeszów,,,,True
0cd711d9-b705-4756-82ae-32ead06d67ee,Rzeszów,,,,True
0d03234f-51d1-44e7-b322-d477a43ad91e,Kielce,,,,True
0d07ac92-8bde-471a-b1c9-8e93bc790762,Źlinice,50.55,17.9,14.0,False
0d34e67b-5e48-4a69-8a85-adc8ed88e2b2,Nysa,50.4741,17.3342,47.0,False
0d524806-58e4-47cf-87ab-b2fab10f7ece,Ujazd,50.3839,18.3506,44.0,False
0d66c4a2-e766-48f3-825d-645902e0cd96,Gościęcin,50.25,18.05,48.0,False
0d79390f-b667-4f74-b3cf-89f5dc098565,Zdzieszowice,50.4239,18.1256,31.0,False
0d7c7aa4-4836-4437-9a3b-19ad97be5f7b,Opole,50.6751,17.9213,0.0,False
0d9bbbe0-38c5-4939-9d68-aba4f8627902,Szczedrzyk,50.68,18.15,16.0,False
0d9d6544-2216-4c38-ac42-fa7ecfd6bd35,Korfantów,50.4589,17.5622,35.0,False
0db0dbf3-28eb-4963-aad6-e24ba918d4a7,Strzeleczki,50.47,17.83,24.0,False
0db3134b-9b47-49a2-88f2-2e3c5b5fb7d3,Komprachcice,50.6231,17.8378,8.0,False
0dbc6adf-40fa-4239-9419-57b5ae7a14cc,Nysa,50.4741,17.3342,47.0,False
0dde23e3-f036-41f6-b33a-bbfd839d34ea,Chrząstowice,50.6644,18.0603,10.0,False
0ded1963-fc7b-4d2c-b96d-aff813925246,OLESNO,50.8703,18.4176,41.0,False
0df8e431-5cc0-4f01-8a2a-71d7d52ebc2e,Grodków,50.6953,17.3808,38.0,False
0e0f4183-70ca-4764-af6b-0815bbfd6961,Prudnik,50.3219,17.5772,46.0,False
0e14253f-f1c9-4f7b-9edc-7a259df1dd29,Grodków,50.6953,17.3808,38.0,False
0e3ebd41-e033-41e3-b063-2cc93ee9d64c,Niemodlin,50.6417,17.6208,22.0,False
0e4eb85e-1e75-44a7-ac72-84bba7db3471,Rzeszów,,,,True
0e5142e3-c16f-4a66-b6c4-95e6b1f232c3,Nowiny,,,,True
0e515787-e0f8-4661-971f-9676d01e6251,NULL,,,,False
0e812387-c5a2-4984-a73c-6c335aa65198,Gliwice,,,,True
0e8be255-be38-403e-91f1-60988e9dda81,NULL,,,,False
0eae5d76-3a6a-4690-b3af-2787c581a7fa,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
0ec243b9-0771-41f2-ba96-c20e178aa2ea,TUŁOWICE,,,,False
0ec46891-f414-49ff-ac29-c624409109ed,Namysłów,51.0753,17.7208,47.0,False
0eddf009-7b15-4d21-8a41-1cc5114fbbea,NULL,,,,False
0ef74478-60c4-4a5b-a9eb-925012780955,Strzelce Opolskie,50.5106,18.3016,32.0,False
0f07b197-640c-4e89-a096-755bb1cd0d59,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
0f1805e8-70ec-4168-b681-036f4722821d,LZS Polski Świętów (Polski Świętów),50.4,17.2,59.0,False
0f1ca2e8-70d0-4aec-99e8-33ba713feb66,Skarbimierz,50.85,17.55,33.0,False
0f1cedcb-c1e3-4920-baba-db75f0a7cde1,Opole,50.6751,17.9213,0.0,False
0f2f3773-d58e-4b89-b50f-73ee385377f9,BRZESKO,,,,True
0f3f40ef-0712-465f-9e69-9502ff1640a1,Jemielnica,50.55,18.28,29.0,False
0f5916d9-d7e9-4544-8b3a-ec593ad8c38a,NULL,,,,False
0f5d28da-5832-459a-83a6-836feb504c58,Skarbimierz,50.85,17.55,33.0,False
0fc5c705-31fe-4902-aade-b0637533571b,NULL,,,,False
0fc9ac5b-988e-4cc8-9998-63304bb30083,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
0fd2c19a-d552-4761-bd06-769a337ec460,Kluczbork,50.9709,18.2179,39.0,False
0fe26f6f-320a-4f75-baf9-df3570347cfe,Gliwice,,,,True
0ff71d01-f628-4fa2-b41c-b049daac768b,Rzeszów,,,,True
0ffca0aa-2e27-4117-8199-7a64bff79a7f,LIMANOWA,,,,True
1000e61e-041d-4e09-817c-16e9cacb4c28,Bielsko-Biała,,,,True
101d6330-289f-4d0d-b193-81c28f08b426,Kolonowskie,50.6539,18.3428,30.0,False
1020dc0b-366c-4f50-b004-ea76591ffecd,LZS POLSKI ŚWIĘTÓW (Polski Świętów 62),50.4,17.2,59.0,False
1049a71a-8195-4a29-9d41-c1726e06a60c,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
10566b94-5864-4eb3-a2bc-6dc4d7b551f9,LIMANOWA,,,,True
105e71ca-7eb0-452b-ad9c-a7ff40acb9d1,Niemodlin,50.6417,17.6208,22.0,False
1071333e-f0ab-4198-9ef2-2b736b9abf6e,Nysa,50.4741,17.3342,47.0,False
107c7241-105b-449e-a90b-c37a0a073979,Chróścice,50.79,17.85,14.0,False
1087a920-749c-4d43-bbee-ced180a0d61b,Rzeszów,,,,True
1094d570-ca48-403e-9e5b-17bbdcd542f1,NULL,,,,False
109d6588-2f19-4e87-aeda-35aa01367fd8,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
10a66e37-1460-47af-aa43-b6777e2dad42,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
10b66d9b-d52d-40a9-8990-97a3b70e7816,NULL,,,,False
10c5515a-18aa-44a2-99d1-704d389bce26,Kluczbork,50.9709,18.2179,39.0,False
10d10e9c-192a-4894-85aa-6895050e4f3a,Kietrz,50.0783,18.0072,67.0,False
10d14890-e67f-49d8-92b9-04c99bd65a93,Rudniki,51.03,18.6,62.0,False
10e7ac85-9fcd-47d2-bc2e-877158dad458,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
10e9acb5-e830-4206-a2a6-da568f9fda9c,Gliwice,,,,True
10f19af6-81e0-40e3-96e3-7c846c6a9e5b,Brożec,50.8,17.4,39.0,False
10f6ef5d-a51c-4629-8c0c-1f1536bf37fe,NULL,,,,False
10f89788-4820-449c-8222-c60fe66f1823,Strzelce Opolskie,50.5106,18.3016,32.0,False
110a83c0-f064-4195-86e8-ec5917ba8c7d,Łambinowice,50.5289,17.53,32.0,False
11661365-1b67-4e54-9db8-b831b6847294,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
118d73f7-4a09-4a88-87bc-a0ade9403ef5,Kujawy,50.3,18.0,42.0,False
1197f774-81d3-44bc-baa6-cf69cb0080ff,Staniątki,,,,True
119c738f-e538-4470-bfb4-bf2fa3d3b909,Nysa,50.4741,17.3342,47.0,False
11cc2464-33bd-4c7a-a794-f7bb5c9ac28e,Mechnice,50.63,17.85,7.0,False
11edf2fa-28ff-4336-ab19-0c45591c30c9,Opole,50.6751,17.9213,0.0,False
11f44b01-2d4f-4857-9923-0d81b241ca61,Jemielnica,50.55,18.28,29.0,False
12114c79-36ba-4806-99fc-2624a917c273,Dobrzeń Wielki,50.7539,17.8483,10.0,False
1212176b-56fd-4046-8c63-8a44e90e8031,NULL,,,,False
1216ddb2-d1d0-4790-9b7d-46270e2264c7,Opole,50.6751,17.9213,0.0,False
1243f828-d565-4896-a394-a9a8e0aab901,Olszanka,50.75,17.45,34.0,False
1246cb94-6e31-4a7f-aa7e-1e9f85227b0c,Częstochowa,,,,True
1269d7bd-a036-4163-8fc7-029ab490a180,Bielsko-Biała,,,,True
1280e00f-badf-4a76-86bd-2cf751efed1c,NULL,,,,False
128705d6-a372-4f4a-8940-58400a8e3ad1,Opole,50.6751,17.9213,0.0,False
128be090-8c80-4a52-8b75-e8e6ae36c2f8,Prószków,50.5772,17.8656,12.0,False
129c2595-1340-4350-ad2f-c0b2e6bf3840,NULL,,,,False
12a72f5e-5c06-48ce-b76e-cc7f7e2a1af3,Zabrze,,,,True
12b25ca0-1a60-4c3f-9409-9d5694abc78d,Olszanka,50.75,17.45,34.0,False
12bbcae1-4de1-4f66-95ac-38099f0185b3,Czarnowąsy,,,,False
12bff8bb-6ffc-4e25-b267-186fc16bec31,Kluczbork,50.9709,18.2179,39.0,False
12df1110-4cac-46b7-a76f-a4881397ec3b,Łambinowice,50.5289,17.53,32.0,False
12e1ef12-bfa5-4d1a-98a8-857721cd36da,Gościęcin,50.25,18.05,48.0,False
13006e2c-fb15-4763-86eb-8decc15c026d,Staniątki,,,,True
1310f2a5-854a-4b78-b376-109d5ffd7af5,Nysa,50.4741,17.3342,47.0,False
13189045-9e8d-428d-bbb2-c71c9cf26f83,Zdzieszowice,50.4239,18.1256,31.0,False
1334d5dc-131c-4e24-9820-0ae74b6b2f33,Częstochowa,,,,True
1335f824-7d1d-41e7-8cee-f732ba52df08,Zabrze,,,,True
1342e8d2-c9ad-46c8-bbdd-39a600732b85,LIMANOWA,,,,True
13493801-a41f-449b-adb8-4756db5d7f10,RAKÓW SZTUCZNA MURAWA (Częstochowa),,,,True
136cdae2-6d19-4d2d-8aa3-5ebeed173e50,Dobrzeń Wielki,50.7539,17.8483,10.0,False
1388d40a-f341-4438-ba71-fdf250162144,Brzesko,,,,True
13a61a7a-7b66-4e79-a0ba-296ce70915a8,Jemielnica,50.55,18.28,29.0,False
13a7c142-9497-4833-8217-04d0f87e2a6a,LIMANOWA,,,,True
13d4df86-ddbb-4a40-ab05-0debe01a3b3d,Zdzieszowice,50.4239,18.1256,31.0,False
13dab8e9-9968-4d3f-8b46-9fd2348bc578,Cisek,50.28,18.19,48.0,False
14109cc7-1b63-47f5-9ebf-1394e3d005a7,NULL,,,,False
1445e724-ca0d-44ea-bb3f-29a8267ea753,Głogówek,50.355,17.8656,36.0,False
1450d6ba-b465-4bb7-bfa1-76edf2630492,Komprachcice,50.6231,17.8378,8.0,False
14546097-f7a2-4cb5-9a25-9956a46d55ce,Prószków,50.5772,17.8656,12.0,False
14926de1-de26-402d-9869-f368376cb7f3,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
14b2d329-7b2f-4d9a-b2c9-a4c71d27f444,Cisek,50.28,18.19,48.0,False
14c45897-eff4-4994-ab51-21ecc7ed83fd,Strzelce Opolskie,50.5106,18.3016,32.0,False
14ce34e0-85e3-41a3-86d2-7504c2427b65,PACZKÓW,50.4636,17.0011,69.0,False
14dc2a5c-ff9e-4464-a6f2-efb5260c06af,Luboszyce,50.73,17.96,7.0,False
14e32031-2b2c-461c-b358-0847d47c88b9,Źlinice,50.55,17.9,14.0,False
151a66aa-4ad5-4c55-b90d-e05d4bdc5800,GKS WIDAWA WILKÓW (Lubska),50.9,17.55,36.0,False
153b16d3-a983-428d-baba-3112e949b7db,Opole,50.6751,17.9213,0.0,False
157b1d41-4d43-4a29-80e8-185867821f06,Kędzierzyn-Koźle,50.3494,18.2263,42.0,False
158797fb-7587-40af-9e31-d47d5166f8d1,NULL,,,,False
15882acb-360e-46f9-9686-9b6d2fd0bbf7,Osowiec,50.62,18.12,15.0,False
15a2d55c-d39c-4150-a38e-1e76e4ac0b30,Opole,50.6751,17.9213,0.0,False
15a4e36b-0fe8-4e35-9df4-4857d2f68273,CZARNOWĄSY,,,,False
15ae3e5d-8750-40dd-83e7-48290cb2322c,GRODKÓW,50.6953,17.3808,38.0,False
15be052f-e77d-4074-95dd-3725629e7e5e,Olszanka,50.75,17.45,34.0,False
15d5d055-a008-4f44-92b3-6e29928c38ce,Byczyna,51.1097,18.2144,53.0,False
15f54f2a-6669-40a5-8810-6f1779680e10,NULL,,,,False
1600536a-7ea8-48b2-893d-6538e0a10e57,Katowice,,,,True
162e8a9b-10cd-4e4c-ba36-7d84122b2706,Ligota Oleska,50.85,18.35,36.0,False
163e54f0-fb72-458e-b179-c79e52264981,Jemielnica,50.55,18.28,29.0,False
164b9f61-6ebf-4287-8f53-e197203c0c9b,NULL,,,,False
165bac66-78bc-4263-96f9-70f619b216fa,Nysa,50.4741,17.3342,47.0,False
16638041-84ce-42ff-990a-8f56a2eb6e9e,NULL,,,,False
